index,brand,sum_correct_recall,n_attempts,sum_incorrect_recall,recall_percentage,hit_count,false_alarm_count,correct_rejection_count,miss_count,total_old,total_new,hit_rate,false_alarm_rate,correct_rejection_rate,miss_rate,accuracy_correct,accuracy_incorrect,overall_accuracy,hits_fas,d_prime,Ease of Spelling (NLP),Frequency (NLP),Type Token Ratio (NLP),Automated Readability Index (NLP),Flesch Reading Ease (NLP),Flesch Kincaid Grade Level (NLP),Coleman Liau Index (NLP),Age of Acquisition (NLP),Orthographic Neighborhood Size (NLP),Orthographic Levenshtein Distance (NLP),Phonological Levenshtein Distance (NLP),Phonological Neighborhood Size (NLP),Length,Pronoun We (HR),Pronoun You (HR),Alliteration (HR),Prevalence (NLP),Arousal (HR),Arousal (NLP),Valence (HR),Valence (NLP),Dominance (NLP),Dominance (HR),Liking (HR),Concreteness (HR),Concreteness (NLP),Imageability (HR),Imageability (NLP),Slogan Brand Functional Fit (HR),Slogan Brand Personality Fit (HR),Slogan Brand Fit 1 (LLM),Slogan Brand Fit 2 (LLM),Creativity (HR),Humor (HR),Humor (NLP),Surprise (NLP),Closest Slogan Similarity (LLM),Wordplay (HR),Metaphor (HR),Distinctiveness Within Category (HR),Distinctiveness in General (HR),Distinctiveness (LLM),Slogan Semantic Density (LLM),Hyperbole (HR),Closest Brand Similarity (LLM)
A common condiment done uncommonly well,Heinz Mustard,27,197,170,0.1370558375634517,167,18,171,30,197,189,0.8477157360406091,0.095238095,0.9047619047619048,0.1522842639593908,338,48,0.8756476683937824,0.7524776408025139,2.315950336597955,5.8,4.800462707391215,-1,-8.26,31.545000000000016,-10.35,-12.13333333,-6.36,13,-1.83,-2.316666667,32.166666666666664,6,0,0,1,2.206494617,4.611111111111111,3.788,3.411764705882353,5.539,4.92,4.823529411764706,4.888888888888889,4.166666666666667,2.5616666666666665,4.882352941176471,3.695,5.3,5.615384615384615,1.113481866,0.835624883,4.888888888888889,2.5,2,10.62219929,0.156182204,1,0,4.428571428571429,4.521739130434782,0.134559647,0.589114596,0,0.058046173
A devilish good drink,Orange Julius,8,194,186,0.041237113,161,14,184,33,194,198,0.8298969072164949,0.070707071,0.9292929292929292,0.1701030927835051,345,47,0.8801020408163265,0.7591898365094242,2.4018817716479672,6,5.460363364253286,-1,-1.765,97.025,-0.72,-2.9,-4.6575,10.333333333333334,-1.466666667,-2.175,16.25,4,0,0,0,2.1879679201759323,6.2,5.853,3.1904761904761907,8.152,6.281,5.428571428571429,4.5,5.095238095238095,2.42,4.9523809523809526,3.688,3.9166666666666665,4.65,1.025731895,0.776295477,4.476190476190476,4,2.236842105,7.816612482,0.142670488,0,1,3.75,4.125,0.126703927,0.554585569,0,0.11932885
A diamond for everyone,Swarovski,10,199,189,0.050251256,169,20,162,30,199,182,0.8492462311557789,0.1098901098901098,0.8901098901098901,0.1507537688442211,331,50,0.868766404,0.739356121,2.2416156960794704,6,5.9611504453340425,-1,-2.9425,54.72500000000002,-6.62,-4.35,-4.645,11.666666666666666,-1.983333333,-2.2,24.5,4,0,0,0,2.262405224369837,4.388888888888889,6.031,2.8823529411764706,7.188,5.75,5,4,4.882352941176471,2.725,5.055555555555555,6.697,4.0588235294117645,5.066666666666666,1.07083192,0.803540352,3.333333333333333,1.7222222222222223,,6.096131051,0.116466303,0,1,3.45,3.9375,0.122543894,0.535343544,0,0.159600404
A fresh take,Baja Fresh,2,193,191,0.010362694,101,26,148,92,193,174,0.5233160621761658,0.1494252873563218,0.8505747126436781,0.4766839378238341,249,118,0.6784741144414169,0.3738907748198439,1.088501929799396,7,6.107168148946253,-1,4.229999999999997,119.19000000000004,2.619999999999999,6.333333333,-4.493333333,17.5,-1.3,-1.5,32.666666666666664,3,0,0,0,2.2780373159831107,4.7727272727272725,5.25,2.909090909090909,5.6455,6.015000000000001,5.190476190476191,4.409090909090909,2.863636363636364,2.1633333333333336,3.590909090909091,3.987,5.125,5.5,1.083288907,0.829971149,3.3181818181818183,2.0454545454545454,2,8.277633882,0.12819825,1,0,3.3181818181818183,2.7,0.106106957,0.535748094,0,0.121662394
A fresh translation of Italian,Romano's Macaroni Grill,0,198,198,0,172,9,172,26,198,181,0.8686868686868687,0.049723757,0.9502762430939228,0.1313131313131313,344,35,0.907651715,0.8189631117807914,2.7354573050176687,5.75,5.2724638282779965,-1,-5.562,49.48000000000002,-7.6,-8.44,-5.85,6.5,-1.625,-2.64,13,5,0,0,0,2.3101220523701547,2.931034482758621,6.235,6.0625,6.909,5.394,4.806451612903226,3.2333333333333334,3.774193548387097,2.015,3.967741935483871,4.088,6.3125,5.9375,1.064615601,0.806027458,3.129032258064516,1.7419354838709675,,8.383727334,0.123983275,0,0,3.71875,3.84375,0.128918365,0.582347023,0,0.115619677
A friend you can eat,Swedish Fish,6,183,177,0.032786885,149,12,173,34,183,185,0.8142076502732241,0.064864865,0.9351351351351352,0.1857923497267759,322,46,0.875,0.7493427854083592,2.3840875917551227,7,6.534493478815593,-1,3.857999999999997,117.16000000000004,1.84,3.1599999999999984,-3.582,26,-1.1375,-1.26,47.6,5,0,1,0,2.289923240338898,4.666666666666667,6.337,2.25,7.3855,5.7275,5.833333333333333,2.7,2.25,3.5260000000000007,2.75,6.017,5.043478260869565,4.090909090909091,1.033270269,0.788287806,4.368421052631579,3.75,2.677419355,8.780742363,0.132547629,0,1,4.666666666666667,4.958333333333333,0.113626536,0.535768206,0,0.137188003
A grip on the future,Bridgestone,0,196,196,0,85,14,174,111,196,188,0.4336734693877551,0.074468085,0.925531915,0.5663265306122449,259,125,0.6744791666666666,0.3592053842813721,1.2613148067636475,6.75,6.124082168606945,-1,3.857999999999997,100.24000000000002,-0.52,3.1599999999999984,-4.948,20.25,-1.175,-1.96,21.8,5,0,0,0,2.227677955439424,4.166666666666667,6.594,2.65,6.606,5.364,5.35,3.7,2.9,2.46,3.9444444444444446,3.667,4.5,5.7,1.021609925,0.779306352,3.35,2.523809523809524,2.259891599,6.933207603,0.128260323,0,1,5.117647058823529,3.789473684210526,0.10377038,0.541893906,0,0.125099564
A hole lot of fun,Lifesavers,4,181,177,0.022099448,142,18,181,39,181,199,0.7845303867403315,0.090452261,0.9095477386934674,0.2154696132596685,323,57,0.85,0.6940781254337989,2.1077691458793826,7,6.052721625272939,-1,6.683999999999999,117.16000000000004,1.84,6.640000000000001,-4.484,31.25,-0.95,-1.14,50.8,5,0,0,0,2.308960304489588,4.448275862068965,7.091,7.03125,8.441,6.941,4.870967741935484,3.7666666666666666,3.3870967741935485,2.722,3.838709677419355,5.303,5.03125,5.25,1.032041517,0.792160036,4.290322580645161,3.870967741935484,2.958265583,7.085914438,0.122913168,1,1,3.75,4.15625,0.108842973,0.546327047,0,0.159341104
A kick in the mouth,Spree,2,186,184,0.010752688,131,12,175,55,186,187,0.7043010752688172,0.064171123,0.9358288770053476,0.2956989247311828,306,67,0.8203753351206434,0.6401299522741648,2.036109742211913,6.75,6.330162075128891,-1,4.800000000000001,117.16000000000004,1.84,4.319999999999999,-3.64,22.25,-1.0125,-1.73,29.8,5,0,0,0,2.275406106111632,5.7368421052631575,5.952,3.263157894736842,4.315,5.6385000000000005,4.588235294117647,3.789473684210526,4.473684210526316,2.992,4.789473684210527,6.2595,4.538461538461538,4.153846153846154,1.030449553,0.773869707,3.473684210526316,3.263157894736842,2.222222222,5.819128369,0.167325411,0,1,4.4,4.333333333333333,0.134573645,0.613319079,0,0.170113522
A little piece of bliss,Werther's Original,16,172,156,0.093023256,120,25,190,52,172,215,0.6976744186046512,0.1162790697674418,0.8837209302325582,0.3023255813953488,310,77,0.8010335917312662,0.5813953488372093,1.6992145584322975,6.5,5.825066804,-1,1.032,100.24000000000002,-0.52,-0.32,-5.288,8.5,-1.475,-1.47,23,5,0,0,0,2.2230107883142063,4.9523809523809526,4.444,3.5,5.948666666666665,5.215666666666667,5.761904761904762,4.181818181818182,2.909090909090909,2.462,4.227272727272728,4.2170000000000005,5.2105263157894735,5.071428571428571,1.00838245,0.77756611,3.4545454545454546,2.136363636363636,2.269585253666666,6.16463357,0.074755321,0,0,3.36,3.55,0.102894573,0.527237738,0,0.163469961
A little taste of heaven,Kraft Foods,6,183,177,0.032786885,127,41,145,56,183,186,0.6939890710382514,0.2204301075268817,0.7795698924731183,0.3060109289617486,272,97,0.7371273712737128,0.4735589635113696,1.2698940068927955,6.75,5.998860250447323,-1,0.09,83.32000000000004,-2.88,-1.48,-3.974,11,-1.3625,-1.47,19.8,5,0,0,0,2.1897600295533706,4.6875,5.269000000000001,3.5294117647058822,6.335333333333334,4.964666666666666,5.055555555555555,4.7368421052631575,3.210526315789474,2.536,4.947368421052632,3.929,4.85,5.05,1.004008368,0.775270334,3.5789473684210527,2.210526315789474,2.1986260456666664,5.010330521,0.074755321,0,1,2.611111111111111,3,0.104201258,0.519854573,1,0.089874578
A more helpful TV,Chromecast,0,198,198,0,156,13,168,42,198,181,0.7878787878787878,0.071823204,0.9281767955801103,0.2121212121212121,324,55,0.8548812664907651,0.7160555834588983,2.239480968732413,6.666666666666667,5.628576404126503,-1,2.9450000000000003,75.87500000000001,-3.67,2.8999999999999986,-3.895,15.666666666666666,-1.45,-2.2125,28.5,4,0,0,0,2.101210976429194,2.6842105263157894,5.303,2.526315789473684,7.849,6.394,4.526315789473684,3.3684210526315788,4.421052631578948,2.6475,4.421052631578948,3.516,4.6,4.9,1.084750201,0.822671194,2.894736842105264,1.947368421052632,,7.727363053,0.116490499,0,0,3.8947368421052633,3.647058823529412,0.136574727,0.569576488,0,0.133774671
A mountain of entertainment,Paramount,37,197,160,0.1878172588832487,158,14,173,39,197,187,0.8020304568527918,0.07486631,0.9251336898395722,0.1979695431472081,331,53,0.8619791666666666,0.7271641466923641,2.268087252118807,5,5.754903483200886,-1,-8.83,33.57500000000002,-9.57,-11.6,-5.245,8,-2,-2.95,15,4,0,0,0,2.209349363412648,5,5.774,3.076923076923077,6.156,5.844,4.583333333333333,4.357142857142857,4.307692307692308,2.7525,5.071428571428571,6.833,5.9523809523809526,5.545454545454546,1.061060581,0.808599807,3.8461538461538463,3.066666666666667,2.060606061,8.555925172,0.15002701,0,1,3.1666666666666665,4.1,0.120109599,0.586341938,1,0.136705884
A nice thick slice of Texas,Lone Star Steakhouse,1,194,193,0.005154639,189,14,171,5,194,185,0.9742268041237112,0.075675676,0.9243243243243244,0.025773196,360,19,0.949868074,0.8985511284480356,3.326801386,6.6,5.451399362938293,-1,1.16,102.045,-0.516666667,-0.533333333,-4.538,14.6,-1.18,-1.575,23,6,0,0,1,2.3367259697238505,3.2,3.9255,2.263157894736842,5.866,5.24,3.95,4.190476190476191,3.6666666666666665,2.632,4.142857142857143,4.0295,5.75,5.461538461538462,1.122060609,0.849810271,4.238095238095238,3.571428571428572,2.557657658,8.191894176,0.163698199,1,1,4.363636363636363,4,0.133480095,0.593238537,0,0.081570818
A nut above,Planters Trail Mix,44,182,138,0.2417582417582417,159,8,179,23,182,187,0.8736263736263736,0.042780749,0.9572192513368984,0.1263736263736263,338,31,0.9159891598915988,0.8308456249632721,2.827071343884209,7,5.397309194697452,-1,5.800000000000001,90.99000000000004,-1.313333333,8.266666666666664,-4.216666667,14,-1.35,-1.566666667,31.666666666666668,3,0,0,1,2.2312592469789068,4.761904761904762,3.156,2.1818181818181817,5.25,5.129,4.818181818181818,4.181818181818182,4.227272727272728,3.103333333333333,3.727272727272727,6.5,5.363636363636363,5.611111111111111,1.012705095,0.770191949,4.590909090909091,4.727272727272728,3.346153846,9.125276622,0.131815738,1,1,4.176470588235294,3.888888888888889,0.128067499,0.601381039,0,0.097041893
A passion for Italy,Olive Garden,12,190,178,0.063157895,168,14,174,22,190,188,0.8842105263157894,0.074468085,0.925531915,0.1157894736842105,342,36,0.9047619047619048,0.8097424412094065,2.61353961,6.333333333333333,5.403919750257019,-1,0.5899999999999999,54.72500000000002,-6.62,-3.55E-15,-6.023333333,11.666666666666666,-1.516666667,-1.6625,27.5,4,0,0,0,2.166998567974598,5,7.576,2.95,8.125,6.618,4.944444444444445,4.2105263157894735,4.15,1.7966666666666666,4.571428571428571,3.697,4.45,5.047619047619048,1.070983562,0.804273954,3.4761904761904763,1.761904761904762,2.277777778,6.902894762,0.110569105,0,0,3.4375,2.9411764705882355,0.131714451,0.561658539,0,0.136570821
A phone plan that can,Google Fi,1,186,185,0.005376344,141,12,182,45,186,194,0.7580645161290323,0.06185567,0.9381443298969072,0.2419354838709677,323,57,0.85,0.6962088460259395,2.216895232346557,7,6.354208562795627,-1,2.9160000000000004,117.16000000000004,1.84,1.9999999999999984,-4.726,23.5,-1.025,-1.34,44,5,0,0,1,2.278676828648364,3.9,4.311999999999999,2.952380952380953,5.721500000000001,5.684,5.285714285714286,4.227272727272728,4.363636363636363,3.1620000000000004,4.090909090909091,5.4435,5.333333333333333,4.842105263157895,1.098164662,0.82355367,3.5,2.272727272727273,,7.4323786,0.16918342,0,0,3.388888888888889,3.3125,0.142748568,0.628830522,0,0.15370723
A pizza you can't refuse!,Godfather's Pizza,26,199,173,0.1306532663316583,167,10,172,32,199,182,0.8391959798994975,0.054945055,0.945054945,0.1608040201005025,339,42,0.88976378,0.7842509249544425,2.561415026514192,6.25,5.429600610694126,-1,-0.852,83.32000000000004,-2.88,-0.32,-5.31,8,-1.5375,-1.85,30,5,0,1,0,1.9477760265856108,5.588235294117647,6.188,3.176470588235294,7.033,5.633,4.470588235294118,4.352941176470588,5.705882352941177,3.132,5.647058823529412,6.741,5.785714285714286,5.277777777777778,1.143944679,0.866812176,3.5294117647058822,3.5294117647058822,2.378378378,9.729377391,0.101963403,1,1,3.6666666666666665,3.1538461538461537,0.125254409,0.550355094,1,0.089652017
A place for ribs,Tony Roma's,8,196,188,0.040816327,173,10,179,23,196,189,0.8826530612244898,0.052910053,0.9470899470899472,0.1173469387755102,352,33,0.9142857142857144,0.8297430083144369,2.774378775,7,5.962265898663511,-1,4.122500000000002,118.175,2.229999999999998,4.349999999999998,-4.076666667,19,-1.133333333,-1.3625,32,4,0,0,0,2.175032166,3.789473684210526,4.059,2,5.242,5.182,4.277777777777778,3.684210526315789,6.421052631578948,2.19,5.105263157894737,5.969,5,4.578947368421052,1.056845689,0.803632402,1.736842105263158,1.7894736842105263,,7.28813471,0.155570697,0,0,3.176470588235294,3.388888888888889,0.130185099,0.586161669,0,0.124501192
A world of baking in a box,Bisquick,3,202,199,0.014851485,162,13,163,40,202,176,0.801980198,0.073863636,0.9261363636363636,0.198019802,325,53,0.8597883597883598,0.7281165616561657,2.2739908713058687,6.6,6.117655076685122,-0.857142857,4.472857142857144,103.04428571428576,-0.625714286,3.4571428571428555,-3.94,19.6,-1.11,-1.514285714,26.428571428571427,7,0,0,0,2.1357623044678364,5.117647058823529,4.582,3.0526315789473686,5.7605,4.7805,5.235294117647059,4.894736842105263,4.555555555555555,2.992857142857144,5.333333333333333,6.285,5.173913043478261,5.3125,1.08422389,0.836162611,5.052631578947368,3.1052631578947367,,7.358550429,0.111190164,0,1,4.125,4.421052631578948,0.114030838,0.551339442,0,0.129328154
Add a little Irish to your game,Irish Spring,50,181,131,0.2762430939226519,165,11,182,16,181,193,0.9116022099447514,0.056994819,0.9430051813471504,0.08839779,347,27,0.927807487,0.8546073912919017,2.897566184,6.833333333333333,5.816422337826365,-1,1.1085714285714268,90.95857142857145,-2.311428571,-0.685714286,-4.041666667,17.333333333333332,-1.241666667,-1.357142857,38.142857142857146,7,0,1,1,2.260200507,3.8333333333333335,4.347333333333334,2,5.291,5.272,5,3.473684210526316,3.3684210526315788,2.7583333333333333,3.736842105263158,4.5263333333333335,5,5.444444444444445,1.089911657,0.808646563,4.368421052631579,3.526315789473684,2.440615836,7.516026103,0.182542075,1,1,4.857142857142857,4.588235294117647,0.136744449,0.62725729,0,0.131193689
Advancement through technology,Audi,6,179,173,0.033519553,128,42,151,51,179,193,0.7150837988826816,0.2176165803108808,0.7823834196891192,0.2849162011173184,279,93,0.75,0.4974672185718007,1.340112353109573,4.333333333333334,4.337261183965024,-1,-24.03,-21.81,-17.04666667,-28.46666667,-8.59,2.333333333333333,-2.3,-3.5,4.333333333333333,3,0,0,0,2.366980900920646,3.2777777777777777,,2.555555555555556,,,5.294117647058823,3.6666666666666665,3.9444444444444446,2.7466666666666666,3.6666666666666665,,4.571428571428571,4.9,1.024775688,0.774568508,2.1666666666666665,1.2777777777777777,,6.243934777,0.11850683,0,0,2.8260869565217392,2.4347826086956523,0.129379157,0.559254702,0,0.122835226
Ageless,Olay,15,197,182,0.076142132,119,14,155,78,197,169,0.6040609137055838,0.082840237,0.9171597633136096,0.3959390862944162,274,92,0.7486338797814208,0.5212206770191933,1.6328248270307812,5,2.4959541248003845,-1,-12.04,36.62000000000003,-8.4,4.799999999999997,-10.3,4,-1.7,-3.65,1,1,0,0,0,2.426339632297475,4.8125,,2.8421052631578947,,,5.333333333333333,3.8947368421052633,3.263157894736842,2.03,4.2105263157894735,,5.25,5.136363636363637,1.039214255,0.80585064,3.1052631578947367,1.7894736842105263,,0,0.157096118,0,1,2.1875,2.294117647058824,0.116557456,0.582986642,1,0.147284874
Ah!thentic italian pizza,Marco's Pizza,9,199,190,0.045226131,186,6,182,13,199,188,0.9346733668341708,0.031914894,0.9680851063829788,0.065326633,368,19,0.9509043927648578,0.9027584732171496,3.314514255340388,4.666666666666667,4.053349503021796,-1,-14.61,6.390000000000015,-13.11333333,-14.93333333,-4.67,0.3333333333333333,-2.433333333,-3.275,0.5,3,0,0,0,2.2390438795951946,4.222222222222222,6.188,1.95,7.033,5.633,4.333333333333333,4.85,5.1,5,4.6,6.741,4.875,5.8,1.143237355,0.866704239,4.368421052631579,3.2,2.378378378,8.755553261,0.129597742,0,0,3.125,5.0625,0.134891245,0.558043535,0,0.102433318
Ahead together,GlaxoSmithKline,0,168,168,0,72,28,178,96,168,206,0.4285714285714285,0.1359223300970873,0.8640776699029126,0.5714285714285714,250,124,0.6684491978609626,0.2926490984743412,0.9118610364951568,6,5.439956357905038,-1,-10.185,-6.695,-14.69,-7.1,-5.695,2.5,-2.05,-3.625,0.5,2,0,0,0,2.4563003489602195,4.125,,3.260869565217391,,,4.9523809523809526,4.2727272727272725,3.0869565217391304,2.87,4.083333333333333,,4.454545454545454,4.538461538461538,1.008290653,0.76729778,3.25,1.3043478260869563,,2.843689281,0.090441516,0,0,3.5,3.647058823529412,0.111903058,0.499062697,0,0.10965929
"Air is life, make it perfect",Lennox,3,186,183,0.016129032,137,21,175,49,186,196,0.7365591397849462,0.1071428571428571,0.8928571428571429,0.2634408602150537,312,70,0.8167539267015707,0.6294162826420892,1.8600345790557111,6.833333333333333,6.102481543056627,-1,0.375,102.045,-0.516666667,-0.533333333,-4.938,23.166666666666668,-1.091666667,-1.416666667,34.833333333333336,6,0,0,0,2.3767980484153752,4.705882352941177,5.437666666666666,3.4705882352941178,6.782,6.056,5.588235294117647,3.9444444444444446,3.7777777777777777,2.5933333333333333,3.333333333333333,3.323,4.466666666666667,3.5384615384615383,1.022704874,0.762323452,3.6666666666666665,1.7222222222222223,2.131723788,7.40772668,0.154138045,0,1,4.5,4.833333333333333,0.116385497,0.573796827,1,0.162493777
All American food,A&W Restaurants,18,199,181,0.090452261,158,22,164,41,199,186,0.7939698492462312,0.1182795698924731,0.8817204301075269,0.2060301507537688,322,63,0.8363636363636363,0.675690279,1.9885106802057573,6.666666666666667,5.636470858976487,-1,-3.62,34.59000000000003,-9.18,-3.333333333,-3.745,16,-1.3,-1.866666667,23.33333333333333,3,0,0,1,2.378874538323468,3.55,5.18,1.9,6.5375,6.012499999999999,4.190476190476191,3.1,5.523809523809524,3.535,4.714285714285714,4.7345,5.454545454545454,5.4375,1.079432639,0.817514768,2.571428571428572,1.5238095238095235,2.181818182,7.485030015,0.118173694,0,0,2.1333333333333333,2.2333333333333334,0.142002957,0.566376412,0,0.137597678
